date,cpi_northeast,cpi_midwest,cpi_south,cpi_west
2021-01-01,279.172,242.716,256.377,285.948
2021-02-01,280.132,244.759,257.802,287.47
2021-03-01,281.336,246.627,259.712,289.308
2021-04-01,283.282,248.593,261.489,292.049
2021-05-01,284.757,250.644,263.638,293.814
2021-06-01,287.645,252.908,265.604,296.099
2021-07-01,287.813,254.319,266.462,297.881
2021-08-01,288.105,254.555,267.404,298.574
2021-09-01,289.167,255.359,268.332,299.082
2021-10-01,290.515,257.306,270.858,301.67
2021-11-01,291.846,258.256,272.251,303.213
2021-12-01,292.091,259.128,273.751,304.574
2022-01-01,295.017,260.643,276.223,307.206
2022-02-01,296.239,262.875,279.536,309.424
2022-03-01,300.145,266.405,283.581,313.718
2022-04-01,302.59,268.162,285.087,315.653
2022-05-01,304.491,271.973,288.852,318.204
2022-06-01,308.303,276.265,292.087,322.591
2022-07-01,307.64,275.964,292.361,322.703
2022-08-01,308.22,275.928,292.516,322.401
2022-09-01,308.995,276.45,292.969,323.649
2022-10-01,309.759,276.563,294.198,325.86
2022-11-01,310.463,275.292,294.458,324.407
2022-12-01,310.504,274.078,293.708,323.322
2023-01-01,313.062,275.942,295.376,327.337
2023-02-01,314.914,277.09,297.391,328.569
2023-03-01,314.624,278.882,298.969,329.536
2023-04-01,314.883,280.827,300.758,331.296
2023-05-01,315.599,281.84,302.034,332.6
2023-06-01,316.672,282.753,302.839,333.674
2023-07-01,317.576,284.803,303.148,333.779
2023-08-01,319.371,283.896,304.961,335.462
2023-09-01,320.262,284.19,306.034,336.532
2023-10-01,320.051,284.18,305.774,336.826
2023-11-01,319.788,283.4,305.824,335.522
2023-12-01,320.124,283.197,305.927,335.308
2024-01-01,322.713,284.072,306.838,337.095
2024-02-01,323.953,285.912,309.562,339.135
2024-03-01,325.503,288.104,310.723,341.299
2024-04-01,326.79,289.785,311.601,343.531
2024-05-01,328.242,291.154,312.422,344.314
2024-06-01,329.635,291.443,312.56,343.88
2024-07-01,329.826,293.789,312.719,344.246
2024-08-01,330.584,293.661,313.019,344.295
2024-09-01,331.821,293.553,312.735,344.866
2024-10-01,332.083,292.617,313.412,344.947
2024-11-01,332.298,291.698,313.22,344.511
2024-12-01,332.49,292.002,312.905,344.416
2025-01-01,335.192,294.431,314.903,346.715
2025-02-01,337.243,295.255,316.276,348.815
2025-03-01,336.702,295.935,316.403,350.126
2025-04-01,338.237,296.804,317.429,351.304
2025-05-01,338.655,297.54,317.515,352.391
2025-06-01,340.65,299.157,318.496,353.027
2025-07-01,340.445,299.254,318.812,353.713
2025-08-01,341.221,300.329,318.793,354.431
2025-09-01,342.233,301.383,319.869,355.713
2025-10-01,,,,
2025-11-01,342.526,299.359,318.975,354.998
2025-12-01,343.491,298.223,318.639,354.879
2026-01-01,344.301,299.436,319.877,356.583
2026-02-01,346.336,301.362,321.211,358.741
2026-03-01,349.154,304.019,325.447,361.945
2026-04-01,352.942,306.9,327.881,364.564
