date,hpi_northeast,hpi_south,hpi_midwest,hpi_west,hpi_national
2021-01-01,227.954204395605,214.425143745188,157.130339747866,325.335595544811,239.626
2021-02-01,230.803837506274,217.580054378877,157.843855091524,328.491011528778,242.334
2021-03-01,232.536375223836,221.433594522454,159.201649981777,332.550415253514,245.423
2021-04-01,234.793652599594,225.693912106657,160.612975581553,336.298715083173,249.005
2021-05-01,237.49071823044,230.327240580074,162.082079187547,342.186499991734,253.252
2021-06-01,239.5342020315,236.33715996305,163.574350338064,348.5642306971,258.082
2021-07-01,242.071698327621,242.37341857233,165.011307470391,355.180256714264,262.55
2021-08-01,244.345231774333,247.788935705912,166.698494975032,360.564546713964,266.63
2021-09-01,246.483946353495,252.344145303851,168.337186950992,366.481008751611,270.202
2021-10-01,248.703253979231,256.726405424619,170.043264474707,372.653622959676,273.623
2021-11-01,251.401212958047,261.407825113887,172.093130645036,378.867348918228,277.321
2021-12-01,254.877983390753,267.12966997351,174.623323337057,384.176240839724,281.533
2022-01-01,258.071016619516,273.503571623918,176.478898825448,390.56165044823,286.095
2022-02-01,262.375520587876,280.590948505415,178.748466810404,400.98265999548,291.053
2022-03-01,265.499379465016,289.484571119318,179.702956390787,409.252706593213,296.261
2022-04-01,269.310345107646,295.478122424712,181.373250339468,414.060739120825,300.283
2022-05-01,272.408941820511,300.602553641409,182.943200778676,416.70782182885,303.278
2022-06-01,274.917580666253,302.350426864511,184.821308746649,414.836492172734,304.151
2022-07-01,275.377753688868,301.711133188913,185.696069903839,410.085441487682,303.362
2022-08-01,275.398317134744,297.484814794015,185.370779580041,403.839836212707,301.098
2022-09-01,274.257502574967,293.424912646221,185.117088925562,399.421120643349,299.109
2022-10-01,273.89129098009,291.727550211031,185.187458435744,398.337430025406,298.779
2022-11-01,274.128088672057,290.577986690547,185.643783397647,396.630442526494,298.466
2022-12-01,274.219774568615,288.724324784927,184.998008414806,394.965228639555,297.736
2023-01-01,274.711632724478,287.453195304315,185.266202969466,394.770060919184,297.334
2023-02-01,274.820590243429,286.383691353689,185.443762170668,395.730234333859,297.585
2023-03-01,276.463194677384,286.219908301824,187.291915015641,396.987149317115,298.677
2023-04-01,278.274190952373,286.769501619292,188.816066822707,399.983552249778,300.052
2023-05-01,281.528481733379,288.786635179311,191.044497135537,403.011494144207,302.058
2023-06-01,283.719048589658,289.62031781211,192.352903887481,406.248999640705,304.177
2023-07-01,286.402285053367,291.175067419788,193.827008733133,410.886050296895,306.546
2023-08-01,289.480162400729,292.350366767751,194.511482589625,416.564446774469,309.189
2023-09-01,292.529837605832,294.234137243911,196.118839955899,420.538909688116,311.319
2023-10-01,294.713342920279,295.560966413363,197.806836326719,423.706120753582,313.267
2023-11-01,296.160844078319,295.870292801023,198.669530038414,426.193309887749,314.11
2023-12-01,297.403613936926,295.060798201044,200.028067857997,428.247319395845,314.851
2024-01-01,298.185186539098,295.981596170892,200.527187439423,428.765407038061,315.827
2024-02-01,301.252334330833,296.570352827722,202.56675689693,430.015839463469,317.009
2024-03-01,303.393524171029,296.806195900449,203.898573532207,432.019065936854,318.151
2024-04-01,305.441815847709,296.507793432655,205.467715084713,433.369605439591,319.092
2024-05-01,308.519616959977,296.130795261929,205.52378059379,436.468050883197,319.977
2024-06-01,309.827033065936,296.076983149574,206.025161203962,439.304550419153,320.764
2024-07-01,311.700866624833,296.472979320667,206.821156443866,439.802820130038,321.635
2024-08-01,313.14111127485,296.849984119236,208.395151188746,440.308846977748,322.5
2024-09-01,315.184925398935,297.37372257598,209.671147698252,439.989937686219,323.526
2024-10-01,316.916583782993,298.242369146202,210.139285195926,440.593509592424,324.539
2024-11-01,318.579289509781,298.901164403189,211.057709400802,442.54400691086,325.95
2024-12-01,320.064949309033,299.868254171519,213.216045391075,442.929847667657,327.56
2025-01-01,322.664253043586,299.89507300939,215.538539619232,445.880449255606,329.001
2025-02-01,325.258988777032,299.17117831358,216.502311405606,448.985493339989,329.573
2025-03-01,328.384475627103,297.446436227807,216.937292749526,449.559594798225,329.078
2025-04-01,330.146843785767,295.795054902934,217.589504512649,444.22573167869,328.092
2025-05-01,331.942657183156,294.183391148463,217.714392626461,440.675780488671,327.486
2025-06-01,332.215820605905,293.197534623398,218.363087924852,439.342430656908,326.966
2025-07-01,331.951929335995,292.806765889855,219.274782697454,440.326904086309,326.917
2025-08-01,332.134471086489,293.347981158237,220.496106597426,440.31669385603,327.28
2025-09-01,332.162200314419,293.458718394272,220.9512284053,441.534028392831,327.759
2025-10-01,333.176707980056,293.846421906621,222.089406519495,440.976735691703,328.831
2025-11-01,335.566571342663,294.645983694028,222.858380157138,444.683811297812,330.149
2025-12-01,337.590616447375,295.215747940203,224.51244782487,446.47320872678,331.304
2026-01-01,339.081123282845,295.424552991897,225.539086043951,446.822746488226,331.851
2026-02-01,340.820492442711,293.929529432185,227.381184300772,445.152187008899,331.998
2026-03-01,341.552649020276,292.388753793164,230.098389691016,442.346233759384,331.265
