date,ahe_national
2021-01-01,29.93
2021-02-01,30.05
2021-03-01,30.03
2021-04-01,30.22
2021-05-01,30.41
2021-06-01,30.54
2021-07-01,30.66
2021-08-01,30.78
2021-09-01,30.98
2021-10-01,31.14
2021-11-01,31.23
2021-12-01,31.39
2022-01-01,31.6
2022-02-01,31.64
2022-03-01,31.8
2022-04-01,31.96
2022-05-01,32.1
2022-06-01,32.19
2022-07-01,32.34
2022-08-01,32.44
2022-09-01,32.57
2022-10-01,32.7
2022-11-01,32.82
2022-12-01,32.94
2023-01-01,33.02
2023-02-01,33.15
2023-03-01,33.27
2023-04-01,33.43
2023-05-01,33.5
2023-06-01,33.69
2023-07-01,33.85
2023-08-01,33.89
2023-09-01,34.01
2023-10-01,34.08
2023-11-01,34.17
2023-12-01,34.29
2024-01-01,34.47
2024-02-01,34.52
2024-03-01,34.65
2024-04-01,34.76
2024-05-01,34.89
2024-06-01,35.01
2024-07-01,35.08
2024-08-01,35.22
2024-09-01,35.34
2024-10-01,35.46
2024-11-01,35.6
2024-12-01,35.69
2025-01-01,35.84
2025-02-01,35.94
2025-03-01,36.11
2025-04-01,36.12
2025-05-01,36.28
2025-06-01,36.36
2025-07-01,36.47
2025-08-01,36.62
2025-09-01,36.7
2025-10-01,36.85
2025-11-01,37.0
2025-12-01,37.02
2026-01-01,37.15
2026-02-01,37.27
2026-03-01,37.35
2026-04-01,37.41
